Description,ANGLE OF ATTACK - ALPHA (AOA),ANGLE OF SIDESLIP - BETHA (SDSLIP),1P STICK ROLL POSITION (POSAILECMD),LH AILERON DEFLECTION (POSAILLH),RH AILERON DEFLECTION (POSAILRH),ELEVATOR DEFLECTION (POSELEV),1P STICK PITCH POSITION (POSELEVCMD),RUDDER DEFLECTION (POSRUDD),1P PEDAL POSITION (POSRUDDCMD),LH FLAP DEFLECTION (FLAPLH),RH FLAP DEFLECTION (FLAPRH),ELEVATOR LONGITUDINAL FORCE STRAIN GAGE,AILERON LATERAL FORCE STRAIN GAGE,PITCH TRIM,ROLL TRIM,RUDDER TRIM
EU,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,kg,kg,deg,deg,deg
198:09:40:08.200,30.77410507,-30,-0.30225563,-2.311111212,1.632907033,-18.84972191,14.8271389,-3.956175327,0.962239563,15.22512627,15.27641296,0.182456136,0.320390075,-0.238222435,-0.179883167,2.73690629
198:09:40:08.300,30.77410507,-30,-0.30225563,-2.281481504,1.630141735,-18.8107605,14.80825996,-4.123506069,1.046875,15.22512627,15.27641296,0.253157884,0.297340423,-0.239096642,-0.173744872,2.738404989
198:09:40:08.400,30.77410507,-30,-0.30225563,-2.280070543,1.632907033,-18.64378548,14.74218273,-3.928286791,1.01953125,15.22512627,15.27641296,0.207543865,0.341134757,-0.24128218,-0.173744872,2.852298737
198:09:40:08.500,30.77410507,-30,-0.30225563,-2.320987701,1.632907033,-18.94062996,14.86489677,-3.944223166,1.020833373,15.22512627,15.27788734,0.207543865,0.31117022,-0.240407959,-0.177837074,2.741402149
198:09:40:08.600,30.77410507,-30,-0.30225563,-2.364726543,1.641202927,-18.85528755,14.80825996,-4.013944149,1.015625,15.22512627,15.2705164,0.257719308,0.318085104,-0.236474022,-0.179883167,2.727914572
198:09:40:08.700,30.77410507,-30,-0.30225563,-2.277248621,1.630141735,-18.74768066,14.79646015,-4.087649345,1.052083373,15.22512627,15.27493858,0.264561415,0.324999988,-0.238222435,-0.179883167,2.783362865
198:09:40:08.800,30.77410507,-30,-0.30225563,-2.340740681,1.630141735,-18.83859062,14.90973473,-4,1.022135377,15.22512627,15.26609325,0.207543865,0.352659583,-0.236474022,-0.183975369,2.747396469
198:09:40:08.900,30.77410507,-30,-0.30225563,-2.284303427,1.628759027,-19.00556564,14.9333334,-4.117529869,1.05078125,15.22512627,15.26461887,0.255438596,0.329609931,-0.239970863,-0.177837074,2.74290061
198:09:40:09.000,30.77410507,-30,-0.30225563,-2.323809624,1.631524324,-18.71243095,14.76342201,-4.037848473,1.104166627,15.22512627,15.27936077,0.193859652,0.357269496,-0.238659546,-0.175790966,2.747396469
198:09:40:09.100,30.77410507,-30,-0.30225563,-2.325220346,1.628759027,-18.96103859,14.93569279,-3.910358667,0.98828125,15.22512627,15.27493858,0.207543865,0.308865249,-0.239970863,-0.177837074,2.778867245
198:09:40:09.200,30.77636909,-30,-0.30225563,-2.305467367,1.621845841,-18.75139236,14.79410076,-4.284860611,1.087239623,15.22512627,15.26461887,0.168771923,0.318085104,-0.236474022,-0.177837074,2.727914572
198:09:40:09.300,30.77636909,-30,-0.30225563,-2.391534328,1.642585516,-18.72170639,14.81533909,-4.241035938,1.1171875,15.22512627,15.28230953,0.173333332,0.313475192,-0.238222435,-0.173744872,2.735407591
198:09:40:09.400,30.77863312,-30,-0.30225563,-2.387301683,1.639820218,-18.76994514,14.75634193,-4.434262753,1.110677123,15.22221661,15.28378391,0.159649119,0.345744669,-0.24128218,-0.177837074,2.741402149
198:09:40:09.500,30.77863312,-30,-0.30225563,-2.274426699,1.630141735,-18.96103859,14.96401215,-4.89043808,1.260416627,15.22221661,15.27788734,0.278245628,0.276595742,-0.236911118,-0.179883167,2.74290061
